,0
437.2543192712,437.2543192712
203.4294251531,203.4294251531
477.8029481681,477.8029481681
283.2875497027,283.2875497027
270.0868945993,270.0868945993
275.1593903306,275.1593903306
441.0331722808,441.0331722808
213.9902969943,213.9902969943
308.0860035685,308.0860035685
593.2267046855,593.2267046855
244.0180685818,244.0180685818
308.1439147017,308.1439147017
246.0505747388,246.0505747388
317.986859676,317.986859676
680.4115442675,680.4115442675
467.3821675136,467.3821675136
254.1128700952,254.1128700952
265.9362339309,265.9362339309
555.2588798447,555.2588798447
296.1390252606,296.1390252606
243.2280099415,243.2280099415
260.0296780985,260.0296780985
218.0101891075,218.0101891075
310.1182567253,310.1182567253
414.1656184617,414.1656184617
301.2981078993,301.2981078993
254.0555775157,254.0555775157
322.1780188982,322.1780188982
536.4804349895,536.4804349895
555.2765927484,555.2765927484
264.1239926506,264.1239926506
214.1205863993,214.1205863993
691.1932489055,691.1932489055
328.1288262061,328.1288262061
272.0572279807,272.0572279807
347.0616590513,347.0616590513
821.6988065677,821.6988065677
259.189594862,259.189594862
383.3399300087,383.3399300087
612.150096109,612.150096109
475.3062462752,475.3062462752
239.9695744684,239.9695744684
780.1021725895,780.1021725895
428.2099982208,428.2099982208
359.2307926297,359.2307926297
553.3376916135,553.3376916135
394.0392450549,394.0392450549
376.0431198988,376.0431198988
212.0451454245,212.0451454245
938.1278533042,938.1278533042
672.3334580845,672.3334580845
415.8471892743,415.8471892743
625.4066812416,625.4066812416
383.9883084127,383.9883084127
364.0287101926,364.0287101926
467.1895900584,467.1895900584
217.1314940618,217.1314940618
285.3032197573,285.3032197573
555.256271275,555.256271275
284.1235158569,284.1235158569
382.139364127,382.139364127
460.1589112329,460.1589112329
298.086632715,298.086632715
231.7208578486,231.7208578486
821.7029986753,821.7029986753
384.3715876336,384.3715876336
220.9747367436,220.9747367436
354.023210852,354.023210852
276.1312602145,276.1312602145
246.0052047967,246.0052047967
288.08450293,288.08450293
624.0949632967,624.0949632967
244.0711842658,244.0711842658
595.2229255275,595.2229255275
242.1015276083,242.1015276083
325.1188834011,325.1188834011
821.7089047738,821.7089047738
543.8548690292,543.8548690292
525.4241033266,525.4241033266
821.7099285988,821.7099285988
424.366494068,424.366494068
821.6961242417,821.6961242417
522.343477649,522.343477649
218.1266965857,218.1266965857
368.3442854313,368.3442854313
627.0855889003,627.0855889003
296.3079126053,296.3079126053
354.1444622407,354.1444622407
244.1868750694,244.1868750694
227.2249735476,227.2249735476
461.174409888,461.174409888
304.9964180547,304.9964180547
372.0230119044,372.0230119044
400.2405488831,400.2405488831
376.0286794537,376.0286794537
416.037997194,416.037997194
357.3607476869,357.3607476869
327.3136893021,327.3136893021
475.1537276777,475.1537276777
692.4475624714,692.4475624714
467.5577712286,467.5577712286
257.1043475721,257.1043475721
646.0673780166,646.0673780166
485.2269513308,485.2269513308
582.3168411909,582.3168411909
290.0330718824,290.0330718824
750.1124144583,750.1124144583
274.0017894611,274.0017894611
269.1122737439,269.1122737439
605.6079916057,605.6079916057
395.0276216738,395.0276216738
595.9169512601,595.9169512601
602.3302927023,602.3302927023
649.3474973516,649.3474973516
733.8142064025,733.8142064025
656.1301952695,656.1301952695
316.0834827374,316.0834827374
661.5462133441,661.5462133441
449.808015389,449.808015389
601.0424684801,601.0424684801
821.7133665477,821.7133665477
297.1940149414,297.1940149414
501.0070865267,501.0070865267
468.0640294617,468.0640294617
612.1536130462,612.1536130462
382.07018907,382.07018907
429.018755025,429.018755025
630.4435735986,630.4435735986
280.0712580347,280.0712580347
395.0998518071,395.0998518071
684.338806839,684.338806839
695.0459286971,695.0459286971
583.2028286734,583.2028286734
204.0747018724,204.0747018724
358.2178421029,358.2178421029
290.1226835873,290.1226835873
523.3636778442,523.3636778442
344.1154447718,344.1154447718
662.5493530463,662.5493530463
257.9722002828,257.9722002828
507.3518896571,507.3518896571
607.0648949011,607.0648949011
278.0402991512,278.0402991512
256.0096564471,256.0096564471
236.8772585638,236.8772585638
695.3250756674,695.3250756674
208.0260229865,208.0260229865
420.0548659948,420.0548659948
414.2254239851,414.2254239851
419.1436346379,419.1436346379
470.1918141267,470.1918141267
410.1528292852,410.1528292852
563.3516989605,563.3516989605
404.0236071902,404.0236071902
229.0714548763,229.0714548763
234.1983889155,234.1983889155
534.1230605634,534.1230605634
641.3625435799,641.3625435799
342.1987035924,342.1987035924
334.9341667761,334.9341667761
805.6006722071,805.6006722071
605.3967803689,605.3967803689
684.5096290614,684.5096290614
580.4573438377,580.4573438377
765.3347073368,765.3347073368
546.3168103474,546.3168103474
409.9440367374,409.9440367374
886.546123419,886.546123419
555.2781033758,555.2781033758
595.0385234178,595.0385234178
453.1740292305,453.1740292305
821.7168890683,821.7168890683
748.3388649204,748.3388649204
331.1994809032,331.1994809032
541.062457746,541.062457746
458.2645780064,458.2645780064
483.1093383133,483.1093383133
280.0471022105,280.0471022105
405.0283634239,405.0283634239
344.070797755,344.070797755
204.896374784,204.896374784
772.8104680986,772.8104680986
449.0356354461,449.0356354461
575.3644031677,575.3644031677
357.2514892879,357.2514892879
532.3722975359,532.3722975359
271.2593232023,271.2593232023
442.2608259415,442.2608259415
269.9406305308,269.9406305308
268.1001735993,268.1001735993
276.1329798058,276.1329798058
569.4503444758,569.4503444758
431.1638421315,431.1638421315
583.3654015109,583.3654015109
275.1116739267,275.1116739267
